State,Avg Monthly Utility Cost,Price per Sq Ft/mo,
Alabama,575,0.29,1983
Arizona,527,0.26,2027
Arkansas,452,0.23,1965
California,572,0.29,1972
Colorado,457,0.23,1987
Connecticut,527,0.26,2027
Delaware,548,0.27,2030
Florida,521,0.26,2004
Georgia,570,0.28,2036
Idaho,515,0.26,1981
Illinois,408,0.2,2040
Indiana,476,0.24,1983
Iowa,439,0.22,1995
Kansas,464,0.23,2017
Kentucky,479,0.24,1996
Louisiana,499,0.25,1996
Maine,459,0.23,1996
Maryland,510,0.26,1962
Massachusetts,516,0.26,1985
Michigan,424,0.21,2019
Minnesota,422,0.21,2010
Mississippi,494,0.25,1976
Missouri,606,0.3,2020
Montana,490,0.24,2042
Nebraska,453,0.23,1970
Nevada,485,0.24,2021
New Hampshire,514,0.26,1977
New Jersey,505,0.25,2020
New Mexico,374,0.19,1968
New York,489,0.24,2038
North Carolina,469,0.23,2039
North Dakota,405,0.2,2025
Ohio,499,0.25,1996
Oklahoma,479,0.24,1996
Oregon,600,0.3,2000
Pennsylvania,460,0.23,2000
Rhode Island,496,0.25,1984
South Carolina,499,0.25,1996
South Dakota,410,0.2,2050
Tennessee,503,0.25,2012
Texas,571,0.29,1969
Utah,537,0.27,1989
Vermont,450,0.23,1957
Virginia,519,0.26,1996
Washington,523,0.26,2012
West Virginia,692,0.35,1977
Wisconsin,382,0.19,2011
$0.25,,,